Code,prod,margin,punit,changelt,contractmultiplier,mkt_val_sample,ticksize,ticksize%%,bid_ask tick,bid_ask/val%%,comm%%,comm/lot,close d0 %%,close d0 /lot,comm/val%%,sum cost
TF1612.CFE,TF,1.2,张,1.2,10000,1016900,0.005,0.49,1,0.49,,3,,3,0.03,0.52
T1612.CFE,T,2,张,2,10000,1012850,0.005,0.49,1,0.49,,3,,0,0.03,0.52
IF1611.CFE,IF,40,张,10,300,998940,0.2,0.6,1,0.6,0.23,,23,,0.23,0.83
PP1701.DCE,pp,7,吨,5,5,40860,1,1.22,2,2.45,0.6,,2.4,,0.6,3.05
SR701.CZC,SR,5,吨,4,10,68900,1,1.45,1,1.45,,3,,0,0.44,1.89
IH1611.CFE,IH,40,张,10,300,673440,0.2,0.89,5,4.45,0.23,,23,,0.23,4.68
AU1612.SHF,au,6,克,5,1000,279200,0.05,1.79,2,3.58,,10,,0,0.36,3.94
IC1611.CFE,IC,40,张,10,200,1294200,0.2,0.31,4,1.24,0.23,,23,,0.23,1.47
AG1612.SHF,ag,10,千克,6,15,61200,1,2.45,2,4.9,0.5,,0.5,,0.5,5.4
ZN1612.SHF,zn,6,吨,5,5,94425,5,2.65,1,2.65,,3,,0,0.32,2.97
A1701.DCE,a,7,吨,5,10,38760,1,2.58,1,2.58,,2,,2,0.52,3.1
CU1612.SHF,cu,8,吨,6,5,188800,10,2.65,2,5.3,0.5,,0,,0.5,5.8
NI1701.SHF,ni,10,吨,6,1,81050,10,1.23,1,1.23,,6,,6,0.74,1.97
OI701.CZC,OI,5,吨,4,10,69880,2,2.86,1,2.86,,2.5,,0,0.36,3.22
Y1701.DCE,y,7,吨,5,10,68060,2,2.94,2,5.88,,2.5,,2.5,0.37,6.24
PB1612.SHF,pb,9,吨,7,5,81150,5,3.08,1,3.08,0.4,,0.4,0,0.4,3.48
J1701.DCE,j,12,吨,10,100,170500,0.5,2.93,1,2.93,0.6,,7.2,,0.6,3.53
P1701.DCE,p,7,吨,5,10,60620,2,3.3,1,3.3,,2.5,,2.5,0.41,3.71
ZC701.CZC,ZC,6,吨,4,100,63000,0.2,3.17,1,3.17,,4,,0,0.63,3.81
M1701.DCE,m,7,吨,5,10,29270,1,3.42,1,3.42,,1.5,,1.5,0.51,3.93
RU1701.SHF,ru,12,吨,6,10,140200,5,3.57,2,7.13,0.45,,0.45,,0.45,7.58
AL1612.SHF,al,9,吨,7,5,68100,5,3.67,3,11.01,,3,,0,0.44,11.45
CF701.CZC,CF,7,吨,4,5,74625,5,3.35,1,3.35,,6,,6,0.8,4.15
JD1701.DCE,jd,8,吨,5,10,35860,1,2.79,2,5.58,1.5,,1.5,,1.5,7.08
HC1701.SHF,hc,8,吨,6,10,28540,1,3.5,1,3.5,1,,1,,1,4.5
JM1701.DCE,jm,9,吨,7,60,76650,0.5,3.91,1,3.91,0.6,,7.2,,0.6,4.51
MA701.CZC,MA,7,吨,4,10,23410,1,4.27,1,4.27,,1.4,,1.4,0.6,4.87
RB1701.SHF,rb,11,吨,6,10,25340,1,3.95,1,3.95,1,,1,,1,4.95
RM701.CZC,RM,6,吨,4,10,22910,1,4.36,1,4.36,,1.5,,1.5,0.65,5.02
TA701.CZC,TA,6,吨,4,5,24380,2,4.1,1,4.1,,3,,0,1.23,5.33
L1701.DCE,l,7,吨,5,5,48125,5,5.19,1,5.19,,2,,2,0.42,5.61
SM701.CZC,SM,9,吨,4,5,39580,2,2.53,4,10.11,,3,,1.5,0.76,10.86
SN1701.SHF,sn,6,吨,5,1,133350,10,0.75,14,10.5,,3,,0,0.22,10.72
CS1701.DCE,cs,7,吨,5,10,17740,1,5.64,1,5.64,,1.5,,1.5,0.85,6.48
C1701.DCE,c,7,吨,5,10,15040,1,6.65,1,6.65,,1.2,,0.6,0.8,7.45
WH701.CZC,WH,5,吨,4,20,55920,1,3.58,1,3.58,,2.5,,0,0.45,4.02
V1701.DCE,v,7,吨,5,5,34175,5,7.32,1,7.32,,2,,1,0.59,7.9
FG701.CZC,FG,5,吨,4,20,22620,1,8.84,1,8.84,,3,,0,1.33,10.17
I1701.DCE,i,11,吨,9,100,47400,0.5,10.55,1,10.55,0.6,,3,,0.6,11.15
SF701.CZC,SF,5,吨,4,5,26690,2,3.75,1,3.75,,3,,1.5,1.12,4.87
BU1612.SHF,bu,8,吨,6,10,17600,2,11.36,1,11.36,1,,1,,1,12.36
FU1704.SHF,fu,20,吨,5,50,133350,1,3.75,58,217.47,0.2,,0.2,,0.2,217.67
RI709.CZC,RI,5,吨,4,20,52800,1,3.79,50,189.39,,2.5,,2.5,0.47,189.87
PM701.CZC,PM,5,吨,4,50,120550,1,#DIV/0!,167,#DIV/0!,,5,,5,0.41,#DIV/0!
RS611.CZC,RS,10,吨,4,10,42030,1,#DIV/0!,0,#DIV/0!,,2,,2,0.48,#DIV/0!
JR705.CZC,JR,5,吨,4,20,62000,1,#DIV/0!,0,#DIV/0!,,3,,3,0.48,#DIV/0!
B1705.DCE,b,5,吨,4,10,38210,1,#DIV/0!,-3670,#DIV/0!,,2,,2,0.52,#DIV/0!
LR709.CZC,LR,5,吨,4,20,50880,1,#DIV/0!,0,#DIV/0!,,3,,3,0.59,#DIV/0!
FB1705.DCE,fb,20,张,8,500,0,0.05,#DIV/0!,-915,#DIV/0!,1,,0.5,,1,#DIV/0!
BB1705.DCE,bb,20,张,5,500,47325,0.05,#DIV/0!,0,#DIV/0!,1,,0.5,,1,#DIV/0!
WR1705.SHF,wr,20,吨,10,10,23300,1,4.29,0,0,0.4,,0.4,,0.4,0.4
